kword,fortnight_starting,towards_pubpolicy_neg,towards_pubpolicy_neu,towards_pubpolicy_pos,towards_rt_pubpolicy_neg,towards_rt_pubpolicy_neu,towards_rt_pubpolicy_pos,total_counts,total_rt_counts,prop_neg,prop_neu,prop_pos,prop_rt_neg,prop_rt_neu,prop_rt_pos
nudge,2020-02-24,,,1.0,,,1.0,1.0,1.0,,,1.0,,,1.0
nudge,2020-03-09,37.0,11.0,1.0,349.0,16.0,1.0,49.0,366.0,0.7551020408163265,0.22448979591836735,0.02040816326530612,0.953551912568306,0.04371584699453552,0.00273224043715847
nudge,2020-03-23,3.0,5.0,,9.0,12.0,,8.0,21.0,0.375,0.625,,0.42857142857142855,0.5714285714285714,
nudge,2020-04-06,4.0,2.0,,7.0,3.0,,6.0,10.0,0.6666666666666666,0.3333333333333333,,0.7,0.3,
nudge,2020-04-20,4.0,4.0,,47.0,6.0,,8.0,53.0,0.5,0.5,,0.8867924528301887,0.11320754716981132,
nudge,2020-05-04,5.0,2.0,,11.0,9.0,,7.0,20.0,0.7142857142857143,0.2857142857142857,,0.55,0.45,
nudge,2020-05-18,2.0,1.0,,10.0,2.0,,3.0,12.0,0.6666666666666666,0.3333333333333333,,0.8333333333333334,0.16666666666666666,
nudge,2020-06-01,,1.0,,,2.0,,1.0,2.0,,1.0,,,1.0,
nudge,2020-06-15,,,,,,,0.0,0.0,,,,,,
nudge,2020-06-29,,,,,,,0.0,0.0,,,,,,
psychologist,2020-01-27,,,,,,,0.0,0.0,,,,,,
psychologist,2020-02-10,,,,,,,0.0,0.0,,,,,,
psychologist,2020-02-24,,,,,,,0.0,0.0,,,,,,
psychologist,2020-03-09,14.0,2.0,1.0,788.0,6.0,1.0,17.0,795.0,0.8235294117647058,0.11764705882352941,0.058823529411764705,0.9911949685534591,0.007547169811320755,0.0012578616352201257
psychologist,2020-03-23,1.0,1.0,,1.0,44.0,,2.0,45.0,0.5,0.5,,0.022222222222222223,0.9777777777777777,
psychologist,2020-04-06,1.0,,,2.0,,,1.0,2.0,1.0,,,1.0,,
psychologist,2020-04-20,,,,,,,0.0,0.0,,,,,,
psychologist,2020-05-04,,,,,,,0.0,0.0,,,,,,
psychologist,2020-05-18,,,,,,,0.0,0.0,,,,,,
psychologist,2020-06-01,,,,,,,0.0,0.0,,,,,,
psychologist,2020-06-15,,,,,,,0.0,0.0,,,,,,
psychologist,2020-06-29,,,,,,,0.0,0.0,,,,,,
psychology,2020-01-27,,,,,,,0.0,0.0,,,,,,
psychology,2020-02-10,,,,,,,0.0,0.0,,,,,,
psychology,2020-02-24,,1.0,,,6.0,,1.0,6.0,,1.0,,,1.0,
psychology,2020-03-09,8.0,5.0,1.0,362.0,69.0,3.0,14.0,434.0,0.5714285714285714,0.35714285714285715,0.07142857142857142,0.8341013824884793,0.15898617511520738,0.0069124423963133645
psychology,2020-03-23,1.0,3.0,1.0,1.0,47.0,1.0,5.0,49.0,0.2,0.6,0.2,0.02040816326530612,0.9591836734693877,0.02040816326530612
psychology,2020-04-06,3.0,,,20.0,,,3.0,20.0,1.0,,,1.0,,
psychology,2020-04-20,3.0,,,3.0,,,3.0,3.0,1.0,,,1.0,,
psychology,2020-05-04,2.0,2.0,3.0,3.0,32.0,13.0,7.0,48.0,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.0625,0.6666666666666666,0.2708333333333333
psychology,2020-05-18,2.0,2.0,,5.0,3.0,,4.0,8.0,0.5,0.5,,0.625,0.375,
psychology,2020-06-01,,,,,,,0.0,0.0,,,,,,
psychology,2020-06-15,,,,,,,0.0,0.0,,,,,,
psychology,2020-06-29,,,,,,,0.0,0.0,,,,,,
spi-b,2020-01-27,,,,,,,0.0,0.0,,,,,,
spi-b,2020-02-10,,,,,,,0.0,0.0,,,,,,
spi-b,2020-02-24,,,,,,,0.0,0.0,,,,,,
spi-b,2020-03-09,,,,,,,0.0,0.0,,,,,,
spi-b,2020-03-23,,1.0,,,2.0,,1.0,2.0,,1.0,,,1.0,
spi-b,2020-04-06,,,,,,,0.0,0.0,,,,,,
spi-b,2020-04-20,,,,,,,0.0,0.0,,,,,,
spi-b,2020-05-04,1.0,,,2.0,,,1.0,2.0,1.0,,,1.0,,
spi-b,2020-05-18,2.0,,,3.0,,,2.0,3.0,1.0,,,1.0,,
spi-b,2020-06-01,,,,,,,0.0,0.0,,,,,,
spi-b,2020-06-15,,,,,,,0.0,0.0,,,,,,
spi-b,2020-06-29,,,,,,,0.0,0.0,,,,,,
