,article_id,title,pub_date_dt,kword,american_behav_scientists,behav_analysis,behav_change,behav_econ,behav_insight,behav_insights_team,behav_science,behav_scientist,behavioural_economist,behavioural_fatigue,chater,halpern,herd_immunity,michie,nudge,psychologist,psychology,spi-b
581,b2_238.0,What the Sage papers reveal about pandemic planning;Newly released minutes show the repercussions of unprecedented policies considered by advisers Public protection,2020-05-30,"['psychology', 'psychology', 'psychology', 'spi-b']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
582,b2_239.0,Cummings debacle 'fatally undermines' virus fight,2020-05-26,"['psychology', 'spi-b']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
583,b2_24,"Dominic Cummings has broken trust in the government's coronavirus strategy and put lives at risk by flouting lockdown, health officials warn",2020-05-31,"['herd_immunity', 'psychologist', 'herd_immunity', 'herd_immunity', 'herd_immunity', 'behav_science', 'spi-b', 'spi-b', 'spi-b']",0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,1,0,3
584,b2_240.0,Coronavirus: The 10 most outlandish claims government has made during pandemic;Scientific adviser urges ministers to rebuild public trust with honest and open communication,2020-05-28,['michie'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
585,b2_241.0,Coronavirus: NHS and social care staff set to get antibody tests from next week;The announcement -expected in full later today -is poised to be the first wide-scale rollout of a test to show if you've had coronavirus in the past,2020-05-21,['spi-b'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
586,b2_242.0,"Coronavirus survivors who test positive again 'are not contagious', scientists claim;Scientists in South Korea claim that recovered coronavirus patients can catch the virus again, but 'are not contagious' the second time around.",2020-05-20,['spi-b'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
587,b2_243.0,"In private, Tories were dismayed. In public, they rallied to save Dominic Cummings;Pressure is growing inside and outside parliament for the resignation of the No 10 chief adviser after claims that he flouted lockdown rules",2020-05-23,['michie'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
588,b2_244.0,First antibody test showing with 100% accuracy who's had bug approved for UK use;Swiss health care company Roche's antibody test has been proved to be 100% accurate by experts at Public Health England's Porton Down facility -paving a way for a highly controversial 'immunity passport' scheme,2020-05-13,['spi-b'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
589,b2_245.0,"Public baffled by victory messages, claims adviser",2020-05-14,"['spi-b', 'psychology']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
590,b2_246.0,"What is the new coronavirus antibody test -and what difference will it make to you?;Here's everything you need to know about the coronavirus antibody test, including how it works and how it can help tackle the global pandemic",2020-05-14,['spi-b'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
591,b2_247.0,SAGE experts warn 'shock' of school closures is blighting a generation as they say having pupils attend alternate weeks could slash risks and danger to children is low - but unions still slam 'chaotic' plans and demand delay,2020-05-22,['behav_insight'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
592,b2_248.0,"Heated arguments' at Sage over science behind easing lockdown, says senior adviser;Advisory group",2020-05-11,"['spi-b', 'psychology']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
593,b2_249.0,Independent SAGE' claims children have more chance of dying of coronavirus than a road traffic accident if they are sent to school on June 1,2020-05-22,['behav_insight'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
594,b2_25,"Coronavirus: 'Many unnecessary deaths' risked by lifting lockdown before contact tracing system effective, scientists warn;Warning comes as minister warns tracker app may not be ready until winter",2020-06-18,"['spi-b', 'behav_science', 'spi-b', 'behav_science', 'psychology']",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2
595,b2_250.0,Keir Starmer reveals his children have attended school throughout the coronavirus crisis as he calls for classes to resume 'as soon as possible',2020-05-23,['behav_insight'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
596,b2_251.0,"The Cummings debacle has exposed Boris Johnson's weakness and dependency;The prime minister is entirely unfit for the responsibility of his office. In cleaving to his special adviser, he looks the servant not the master",2020-05-26,['behav_insight'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
597,b2_252.0,A ROAD MAP ' … OR CHAOS?;BORIS FORGES AHEAD WITH NEW STRATEGY AS STURGE ON SAYS CHANGE OF COURSE WOULD BE 'CATASTROPHIC',2020-05-11,['michie'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
598,b2_253.0,A ROAD MAP… OR CHAOS? ';JOHNSON'S LOCKDOWN EXIT STRATEGY COMES UNDER FIRE ENGLAND'S ROUTE OUT OF LOCKDOWN…,2020-05-11,['michie'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
599,b2_254.0,"Chaos over Government's 'stay alert' slogan as Scotland, Wales and Northern Ireland reject it;No 10 has since issued guidance on what 'Stay Alert' means in practice",2020-05-10,['michie'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
600,b2_255.0,"Daily coronavirus briefings 'not trustworthy' and 'completely embarrassing', says leading scientist;Professor Sir David Spiegelhalter describes Covid-19 statistics as 'number theatre'",2020-05-10,"['michie', 'michie']",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
601,b2_256.0,"Dangerous' UK coronavirus strategy guarantees future lockdowns, SAGE rivals warn;The Independent Sage group of scientists, set up separately from the Scientific Advisory Group for Emergencies, has urged the Government take all necessary measures to control the virus",2020-05-12,"['michie', 'behav_change', 'psychology', 'michie']",0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
602,b2_257.0,France adopts similar message to UK as Boris Johnson denies scientists did not back 'Stay Alert' slogan;Prime Minister indicates that Government will be sticking to new messaging despite widespread criticism,2020-05-11,['michie'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
603,b2_258.0,MUDDLED THINKING;CORONAVIRUS CRISIS: JOHNSON REVEALS 'ROADMAP' Plan for easing lockdown only in England and is slammed as confusing and ambiguous,2020-05-11,['michie'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
604,b2_26,Easing Lockdown;The opening of non-essential shops is a small marker in recovery from the crisis,2020-06-15,"['behavioural_fatigue', 'behav_science']",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
605,b2_261.0,"We'll stick with our stay at home plea, says Sturgeon",2020-05-11,"['psychology', 'michie']",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
606,b2_262.0,Will slogan give us carte blanche?,2020-05-11,['michie'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
